num_projeto	data_apresentacao	autor	localizacao_atual	status	data_ultima_tram	ultima_acao	projeto
PLO 889/2020 - Projeto de Lei Ordinária	17 De Novembro De 2020 	Tribunal De Justiça - Presidente	Arquivo - Dl - Arq-Dl	Proposição Transformada Em Lei	11 De Dezembro De 2020	Proposição Convertida Em Lei Ordinária Nº 4 911 De 08 De Dezembro De 2020 Publicada No D O E Nº 239 De 08 De Dezembro De 2020	PLO
PLO 888/2020 - Projeto de Lei Ordinária	17 De Novembro De 2020 	Tribunal De Justiça - Presidente	Arquivo - Dl - Arq-Dl	Proposição Transformada Em Lei	30 De Dezembro De 2020	Proposição Convertida Em Lei Ordinária Nº 4 937 De 30 De Dezembro De 2020 Publicada No D O E Nº 253 De 30 De Dezembro De 2020	PLO
PLO 887/2020 - Projeto de Lei Ordinária	17 De Novembro De 2020 	Poder Executivo - Executivo	Arquivo - Dl - Arq-Dl	Proposição Transformada Em Lei	4 De Dezembro De 2020	Proposição Convertida Em Lei Ordinária Nº 4 894 De 02 De Dezembro De 2020 Publicada No D O E Nº 235 De 02 De Dezembro De 2020	PLO
PLO 886/2020 - Projeto de Lei Ordinária	17 De Novembro De 2020 	Poder Executivo - Executivo	Arquivo - Dl - Arq-Dl	Proposição Transformada Em Lei	14 De Dezembro De 2020	Proposição Convertida Em Lei Ordinária Nº 4 915 De 10 De Dezembro De 2020 Publicada No D O E Nº 218 De 11 De Dezembro De 2020	PLO
PLO 885/2020 - Projeto de Lei Ordinária	17 De Novembro De 2020 	Poder Executivo - Executivo	Arquivo - Dl - Arq-Dl	Proposição Transformada Em Lei	3 De Fevereiro De 2021	Proposição Convertida Em Lei Ordinária Nº4 955, De 19 De Janeiro De 2021 Publicada No D O E Nº 20 De 29 01 2021	PLO
PLO 884/2020 - Projeto de Lei Ordinária	17 De Novembro De 2020 	Poder Executivo - Executivo	Arquivo - Dl - Arq-Dl	Proposição Transformada Em Lei	17 De Dezembro De 2020	Proposição Convertida Em Lei Ordinária Nº 4 926 De 17 De Dezembro De 2020 Publicada No D O E Nº 246 De 17 De Dezembro De 2020	PLO
PLO 883/2020 - Projeto de Lei Ordinária	17 De Novembro De 2020 	Poder Executivo - Executivo	Arquivo - Dl - Arq-Dl	Proposição Transformada Em Lei	8 De Dezembro De 2020	Proposição Convertida Em Lei Ordinária Nº 4 896 De 04 De Dezembro De 2020 Publicada No D O E Nº 237 De 04 De Dezembro De 2020	PLO
PLO 882/2020 - Projeto de Lei Ordinária	17 De Novembro De 2020 	Poder Executivo - Executivo	Arquivo - Dl - Arq-Dl	Proposição Transformada Em Lei	30 De Novembro De 2020	Proposição Convertida Em Lei Ordinária Nº 4 888 De 24 De Novembro De 2020 Publicada No D O E Nº 229 De 25 De Novembro De 2020	PLO
PLO 881/2020 - Projeto de Lei Ordinária	17 De Novembro De 2020 	Poder Executivo - Executivo	Arquivo - Dl - Arq-Dl	Proposição Transformada Em Lei	1 De Dezembro De 2020	Proposição Convertida Em Lei Ordinária Nº 4 891 De 27 De Novembro De 2020 Publicada No D O E Nº 231 De 30 De Novembro De 2020	PLO
PLO 880/2020 - Projeto de Lei Ordinária	17 De Novembro De 2020 	Poder Executivo - Executivo	Arquivo - Dl - Arq-Dl	Proposição Transformada Em Lei	23 De Dezembro De 2020	Proposição Convertida Em Lei Ordinária Nº 4 934 De 22 De Dezembro De 2020 Publicada No D O E Nº 250 De 23 De Dezembro De 2020	PLO
