"num_projeto";"data_apresentacao";"autor";"localizacao_atual";"status";"data_ultima_tram";"ultima_acao";"projeto";"data"
"PLO 183/2019 - Projeto de Lei Ordinária";"25 De Junho De 2019 ";"Cirone Deiró";"Arquivo - Dl - Arq-Dl";"Parecer Da Ccjr Ou Da Cfo Pelo Arquivamento Da Proposição";"4 De Setembro De 2019";"Para Arquivamento Conforme Artigo 28-A, Inciso I Do Regimento Interno Desta Casa De Leis Documentos Acessórios: 2";"PLO";2019-06-25
"PLO 182/2019 - Projeto de Lei Ordinária";"25 De Junho De 2019 ";"Geraldo Da Rondônia";"Arquivo - Dl - Arq-Dl";"Proposição Transformada Em Lei";"4 De Novembro De 2019";"Proposição Convertida Em Lei Nº 4 638 De 31/10/2019 - Publicada No D O E Nº 204 Em 31/10/2019 Fim Do Processo Documentos Acessórios: 3";"PLO";2019-06-25
"PLO 181/2019 - Projeto de Lei Ordinária";"25 De Junho De 2019 ";"Jhony Paixão";"Gabinete Da Secretaria Legislativa - Sl";"Sem Parecer Da Comissão";"29 De Outubro De 2019";"Sem Parecer Da Comissão Pertinente";"PLO";2019-06-25
"PLO 180/2019 - Projeto de Lei Ordinária";"25 De Junho De 2019 ";"Anderson Pereira";"Arquivo - Dl - Arq-Dl";"Transformada Em Lei Com Veto Parcial";"10 De Dezembro De 2019";"Veto Parcial Mantido Proposição Convertida Em Lei Ordinária Nº 4614 De 21 De Outubro De 2019, Publicado No D O 198 De 22/10/2019 Documentos Acessórios: 6";"PLO";2019-06-25
"PLO 179/2019 - Projeto de Lei Ordinária";"25 De Junho De 2019 ";"Alex Silva";"Arquivo - Dl - Arq-Dl";"Parecer Da Ccjr Ou Da Cfo Pelo Arquivamento Da Proposição";"18 De Setembro De 2019";"Para Arquivamento Conforme Artigo 28-A, Inciso I Do Regimento Interno Desta Casa De Leis Documentos Acessórios: 2";"PLO";2019-06-25
"PLO 178/2019 - Projeto de Lei Ordinária";"25 De Junho De 2019 ";"Cirone Deiró";"Arquivo - Dl - Arq-Dl";"Proposição Transformada Em Lei";"8 De Outubro De 2019";"Proposição Convertida Em Lei Nº 4 605, De 07 De Outubro De 2019, Publicada No Doe Nº 187, De 07/10/19 - Fim Do Processo Documentos Acessórios: 3";"PLO";2019-06-25
"PLO 177/2019 - Projeto de Lei Ordinária";"25 De Junho De 2019 ";"Cirone Deiró";"Arquivo - Dl - Arq-Dl";"Parecer Da Ccjr Ou Da Cfo Pelo Arquivamento Da Proposição";"4 De Setembro De 2019";"Para Arquivamento Conforme Artigo 28-A, Inciso I Do Regimento Interno Desta Casa De Leis Documentos Acessórios: 2";"PLO";2019-06-25
"PLO 176/2019 - Projeto de Lei Ordinária";"25 De Junho De 2019 ";"Cirone Deiró";"Arquivo - Dl - Arq-Dl";"Proposição Transformada Em Lei";"31 De Outubro De 2019";"Proposição Convertida Em Lei Nº 4 639 De 31/10/2019 - Publicada No D O E Nº 204 Em 31/10/2019 Fim Do Processo Documentos Acessórios: 3";"PLO";2019-06-25
"PLO 175/2019 - Projeto de Lei Ordinária";"25 De Junho De 2019 ";"Poder Judiciário - Justiça";"Arquivo - Dl - Arq-Dl";"Proposição Transformada Em Lei";"10 De Setembro De 2019";"Proposição Convertida Em Lei Nº 4 574, De 09/09/2019, Publicada No D O E Nº 168, De 09/09/2019 - Fim Do Processo Documentos Acessórios: 2";"PLO";2019-06-25
"PLO 174/2019 - Projeto de Lei Ordinária";"24 De Junho De 2019 ";"Jhony Paixão";"Arquivo - Dl - Arq-Dl";"Proposição Transformada Em Lei";"4 De Novembro De 2019";"Proposição Convertida Em Lei Nº 4 637 De 31/10/2019 - Publicada No D O E Nº 204 Em 31/10/2019 Fim Do Processo Documentos Acessórios: 4";"PLO";2019-06-24
"PLO 173/2019 - Projeto de Lei Ordinária";"24 De Junho De 2019 ";"Eyder Brasil";"Arquivo - Dl - Arq-Dl";"Proposição Transformada Em Lei";"31 De Outubro De 2019";"Proposição Convertida Em Lei Nº 4 640 De 31/10/2019 - Publicada No D O E Nº 204 Em 31/10/2019 Fim Do Processo Documentos Acessórios: 3";"PLO";2019-06-24
"PLO 172/2019 - Projeto de Lei Ordinária";"24 De Junho De 2019 ";"Lazinho Da Fetagro";"Arquivo - Dl - Arq-Dl";"Proposição Transformada Em Lei";"9 De Dezembro De 2019";"Proposição Convertida Em Lei Nº 4 667 De 06/12/2019 - Publicada No D O E Nº 229 Em 06/12/2019 Fim Do Processo Documentos Acessórios: 3";"PLO";2019-06-24
